éûçè,ëD1,ëD2,ëD3
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,37.04,0,0
7,74.08,0,0
8,111.12,0,0
9,148.16,0,0
10,185.2,0,37.04
11,222.24,0,74.08
12,259.28,0,111.12
13,296.32,0,148.16
14,333.36,0,185.2
15,370.4,0,222.24
16,407.44,0,259.28
17,444.48,0,296.32
18,481.52,0,333.36
19,518.56,37.04,370.4
20,555.6,74.08,407.44
21,592.64,111.12,444.48
22,629.68,148.16,481.52
23,666.72,185.2,518.56
24,703.76,222.24,555.6
25,740.8,259.28,592.64
26,777.84,296.32,629.68
27,800,333.36,666.72
28,800,370.4,703.76
29,800,407.44,740.8
30,800,444.48,777.84
31,800,481.52,800
32,800,518.56,800
33,800,555.6,800
34,800,592.64,800
35,800,629.68,800
36,800,666.72,800
37,800,703.76,800
38,800,740.8,800
39,800,777.84,800
40,800,800,800
41,800,800,800
42,800,800,800
43,762.96,800,800
44,725.92,800,800
45,688.88,800,800
46,651.84,800,800
47,614.8,800,800
48,577.76,800,800
49,540.72,800,800
50,503.68,800,800
51,466.64,800,800
52,429.6,800,800
53,392.56,800,800
54,355.52,800,800
55,318.48,800,762.96
56,281.44,800,725.92
57,244.4,800,688.88
58,207.36,800,651.84
59,170.32,800,614.8
60,133.28,800,577.76
61,96.24,800,540.72
62,59.2,800,503.68
63,22.16,800,466.64
64,0,800,429.6
65,0,800,392.56
66,0,800,355.52
67,0,800,318.48
68,0,800,281.44
69,0,800,244.4
70,0,800,207.36
71,0,800,170.32
72,0,800,133.28
73,0,800,96.24
74,37.04,800,59.2
75,74.08,800,22.16
76,111.12,800,0
77,148.16,800,0
78,185.2,800,0
79,222.24,800,0
80,259.28,762.96,0
81,296.32,725.92,0
82,333.36,688.88,0
83,370.4,651.84,0
84,407.44,614.8,0
85,444.48,577.76,0
86,481.52,540.72,37.04
87,518.56,503.68,74.08
88,555.6,466.64,111.12
89,592.64,429.6,148.16
90,629.68,392.56,185.2
91,666.72,355.52,222.24
92,703.76,318.48,259.28
93,740.8,281.44,296.32
94,777.84,244.4,333.36
95,800,207.36,370.4
96,800,170.32,407.44
97,800,133.28,444.48
98,800,96.24,481.52
99,800,59.2,518.56
100,800,22.16,555.6
101,800,0,592.64
102,800,0,629.68
103,800,0,666.72
104,800,0,703.76
105,800,0,740.8
106,800,0,777.84
107,800,0,800
108,800,0,800
109,800,0,800
110,800,0,800
111,800,37.04,800
112,800,74.08,800
113,800,111.12,800
114,800,148.16,800
115,762.96,185.2,800
116,725.92,222.24,800
117,688.88,259.28,800
118,651.84,296.32,800
119,614.8,333.36,800
120,577.76,370.4,800
121,540.72,407.44,800
122,503.68,444.48,800
123,466.64,481.52,800
124,429.6,518.56,800
125,392.56,555.6,800
126,355.52,592.64,800
127,318.48,629.68,800
128,281.44,666.72,800
129,244.4,703.76,800
130,207.36,740.8,800
131,170.32,777.84,800
132,133.28,800,800
133,96.24,800,800
134,59.2,800,800
135,22.16,800,800
136,0,800,762.96
137,0,800,725.92
138,0,800,688.88
139,0,800,651.84
140,0,800,614.8
141,0,800,577.76
142,0,800,540.72
143,0,800,503.68
144,0,800,466.64
145,0,800,429.6
146,37.04,800,392.56
147,74.08,800,355.52
148,111.12,800,318.48
149,148.16,800,281.44
150,185.2,800,244.4
151,222.24,800,207.36
152,259.28,800,170.32
153,296.32,800,133.28
154,333.36,800,96.24
155,370.4,800,59.2
156,407.44,800,22.16
157,444.48,800,0
158,481.52,800,0
159,518.56,800,0
160,555.6,800,0
161,592.64,762.96,0
162,629.68,725.92,0
163,666.72,688.88,0
164,703.76,651.84,0
165,740.8,614.8,0
166,777.84,577.76,0
167,800,540.72,37.04
168,800,503.68,74.08
169,800,466.64,111.12
170,800,429.6,148.16
171,800,392.56,185.2
172,800,355.52,222.24
173,800,318.48,259.28
174,800,281.44,296.32
175,800,244.4,333.36
176,800,207.36,370.4
177,800,170.32,407.44
178,800,133.28,444.48
179,800,96.24,481.52
180,800,59.2,518.56
181,800,22.16,555.6
182,800,0,592.64
183,800,0,629.68
184,800,0,666.72
185,800,0,703.76
186,800,0,740.8
187,800,0,777.84
188,800,0,800
189,800,0,800
190,800,0,800
191,800,0,762.96
192,800,37.04,725.92
193,800,74.08,688.88
194,800,111.12,651.84
195,800,148.16,614.8
196,800,185.2,577.76
197,800,222.24,540.72
198,800,259.28,503.68
199,800,296.32,466.64
200,800,333.36,429.6
201,800,370.4,392.56
202,800,407.44,355.52
203,800,444.48,318.48
204,800,481.52,281.44
205,800,518.56,244.4
206,800,555.6,207.36
207,800,592.64,170.32
208,800,629.68,133.28
209,800,666.72,96.24
210,800,703.76,59.2
211,800,740.8,22.16
212,800,777.84,0
213,800,800,0
214,800,800,0
215,800,800,0
216,762.96,800,0
217,725.92,800,0
218,688.88,800,0
219,651.84,800,0
220,614.8,800,0
221,577.76,800,0
222,540.72,800,37.04
223,503.68,800,74.08
224,466.64,800,111.12
225,429.6,800,148.16
226,392.56,800,185.2
227,355.52,800,222.24
228,318.48,800,259.28
229,281.44,800,296.32
230,244.4,800,333.36
231,207.36,800,370.4
232,170.32,800,407.44
233,133.28,800,444.48
234,96.24,800,481.52
235,59.2,800,518.56
236,22.16,800,555.6
237,0,800,592.64
238,0,800,629.68
239,0,800,666.72
240,0,800,703.76
